Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NKTX,"Nkarta, Inc.",$1.775,,,$125.95M,US,,174538,Healthcare,Biotechnology
MRAM,"Everspin Technologies, Inc.",$5.605,,,$125.93M,US,,20603,Technology,Semiconductors
EHTH,"eHealth, Inc.",$4.15,,,$125.86M,US,,168377,Financial Services,Insurance - Brokers
HFLGX,Hennessy Cornerstone Large Growth Fd Inv Cl,$11.11,,,$125.61M,US,,,,
KRMD,"KORU Medical Systems, Inc.",$2.71,,,$125.04M,US,,28271,Healthcare,Medical - Instruments & Supplies
KNTE,Kinnate Biopharma Inc.,$2.65,,,$124.99M,US,,2121570,Healthcare,Biotechnology
HMNF,"HMN Financial, Inc.",$27.99,,,$124.97M,US,,156666,Financial Services,Banks - Regional
MRLTX,AMG Renaissance Large Cap Growth Fund - Class N,$18.04,,,$124.72M,US,,,Financial Services,Asset Management
ERES,East Resources Acquisition Company,$10.85,,,$124.57M,US,,110732,Financial Services,Shell Companies
NEEGX,Needham Growth Fund- Retail Class,$52.26,,,$124.36M,US,,,Financial Services,Asset Management
TARA,"Protara Therapeutics, Inc.",$3.22,,,$124.23M,US,,119311,Healthcare,Biotechnology
MIXIX,MainStay Short Term Bond Fund Class I,$9.13,,,$124.16M,US,,,Financial Services,Asset Management - Bonds
CFFE,CF Acquisition Corp. VIII,$16.52,,,$123.84M,US,,16936,Financial Services,Shell Companies
DCGTX,Jackson Square SMID-Cap Growth Fund IS Class,$17.31,,,$123.74M,US,,,Financial Services,Asset Management
JSMVX,Jackson Square SMID-Cap Growth Fund,$16.76,,,$123.74M,US,,,Financial Services,Asset Management
BLVAX,BMO Low Volatility Equity Fund Class A,$11.4,,,$123.49M,US,,,Financial Services,Asset Management
DBTX,"Decibel Therapeutics, Inc.",$4.91,,,$123.37M,US,,1055379,Healthcare,Biotechnology
VCSA,"Vacasa, Inc.",$5.39,,,$123.26M,US,,530356,Technology,Software - Application
GECC,Great Elm Capital Corp.,$10.6374,,,$122.80M,US,,6235,Financial Services,Asset Management
ARHVX,American Century One Choice 2065 Inv,$13.02,,,$122.53M,US,,,,
GPRIX,Grandeur Peak Global Reach Fund,$16.02,,,$122.49M,US,,,Financial Services,Asset Management - Global
USGO,U.S. GoldMining Inc.,$9.7899,,,$122.46M,US,,16394,Basic Materials,Industrial Materials
KVAC,Keen Vision Acquisition Corporation Ordinary Shares,$11.31,,,$122.38M,US,,4,Financial Services,Shell Companies
CLAR,Clarus Corporation,$3.185,,,$122.31M,US,,49135,Consumer Cyclical,Leisure
TBCP,Thunder Bridge Capital Partners III Inc.,$10.21,,,$122.15M,US,,10439,Financial Services,Shell Companies
GECCZ,Great Elm Capital Corp. 8.75% Notes due 2028,$25.45,,,$122.04M,US,,101,Financial Services,Investment - Banking & Investment Services
JHJAX,John Hancock ESG Large Cap Core Fund Class A,$22.97,,,$121.58M,US,,,Financial Services,Asset Management
MSAQX,Morgan Stanley Institutional Fund - Asia Opportunity Portfolio Class I,$22.25,,,$121.33M,US,,,Financial Services,Asset Management
NBREX,Neuberger Berman Mid Cap Instrinsic Value Fd Trust,$24.89,,,$121.12M,US,,,,
ECEOX,Lazard Emerging Markets Core Equity Portfolio Open Shs,$11.24,,,$121.10M,US,,,,
WIGTX,Seven Canyons World Innovators Fund,$12.297,,,$121.05M,US,,,Financial Services,Asset Management
GRAY,"Graybug Vision, Inc.",$5.5,,,$120.98M,US,,24628,Healthcare,Biotechnology
HCYAX,Hilton Tactical Income Fund,$17.88,,,$120.98M,US,,,Financial Services,Asset Management - Income
HCYIX,Hilton Tactical Income Fund Institutional Class,$17.91,,,$120.98M,US,,,Financial Services,Asset Management - Income
SGOAX,SEI Asset Allocation Trust Market Growth Strategy Allocation Fund Class F,$28.34,,,$120.83M,US,,,Financial Services,Asset Management
CIGYX,"AB Cap Fund, Inc. - AB Concentrated International Growth Portfolio - ADV",$11.48,,,$120.61M,US,,,Financial Services,Asset Management
VBFC,Village Bank and Trust Financial Corp.,$80.21,,,$120.16M,US,,1258,Financial Services,Banks - Regional
ETCTX,Eaton Vance CT Municipal Income A,$9.16,,,$119.90M,US,,,Financial Services,Asset Management - Income
TCMIX,AMG TimesSquare International Small Cap Fund,$17.15,,,$119.80M,US,,,Financial Services,Asset Management
MAYA,Maywood Acquisition Corp.,$10.035,,,$119.51M,US,,1210,Financial Services,Shell Companies
ETGAX,Eaton Vance GA Municipal Income A,$7.84,,,$118.64M,US,,,Financial Services,Asset Management - Income
RGIVX,ClearBridge Global Infrastructure Income Fund Class I,$14.33,,,$118.58M,US,,,Financial Services,Asset Management - Income
RGSVX,ClearBridge Global Infrastructure Income Fund Class IS,$14.37,,,$118.58M,US,,,Financial Services,Asset Management - Income
MNTX,"Manitex International, Inc.",$5.8,,,$118.30M,US,,216922,Industrials,Agricultural - Machinery
HJPSX,Hennessy Japan Small Cap Fund Investor Class,$19.25,,,$118.30M,US,,,Financial Services,Asset Management
HJSIX,Hennessy Japan Small Cap Fund,$18.96,,,$118.30M,US,,,Financial Services,Asset Management
